день,группа,предмет,сложность,температура,осадки,тип погоды,количество пар,номера пар,успеваемость,процент посещаемости
Среда,9,Веб-технологии,4,22,False,ветер,5,"[1, 2, 3, 4, 5]",22,62
Четверг,5,Информационная безопасность,5,4,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Понедельник,4,Безопасность операционных систем и сетей,5,-1,False,туман,3,"[1, 2, 3]",36,64
Понедельник,3,Литература,3,-1,False,ветер,2,"[2, 5]",55,81
Суббота,16,Маркетинг и менеджмент в сфере услуг,3,28,False,туман,2,"[4, 5]",55,81
Суббота,16,Эксплуатация компьютерных сетей,4,12,False,пасмурно,3,"[1, 4, 5]",24,66
Среда,16,Основы туризма и гостеприимства,3,22,True,дождь,2,"[1, 2]",45,56
Четверг,7,Системное администрирование,4,1,False,солнечно,2,"[1, 2]",20,52
Пятница,11,Проектно-исследовательская деятельность,4,6,False,солнечно,4,"[1, 2, 3, 5]",40,69
Суббота,5,Безопасность сетей,5,4,False,туман,2,"[2, 4]",20,45
Понедельник,14,Операционные системы,4,16,False,ветер,2,"[1, 2]",24,49
Среда,15,Сетевые операционные системы,4,15,False,пасмурно,3,"[1, 3, 5]",20,55
Пятница,6,Безопасность сетей,5,9,False,туман,2,"[1, 3]",20,49
Среда,16,Русский язык,3,5,False,солнечно,2,"[2, 3]",56,80
Понедельник,10,Проектирование информационных систем,4,25,True,снег,3,"[1, 4, 5]",20,37
Среда,5,Архитектура компьютеров,4,25,True,дождь,5,"[1, 2, 3, 4, 5]",21,53
Среда,12,Методы и средства защиты информации,5,8,False,ветер,5,"[1, 2, 3, 4, 5]",20,40
Четверг,6,Безопасность операционных систем и сетей,5,23,False,пасмурно,4,"[1, 2, 3, 4]",29,69
Среда,16,Математика,5,20,False,ветер,5,"[1, 2, 3, 4, 5]",22,55
Суббота,8,Тестирование программных продуктов,4,6,False,солнечно,1,[4],20,42
Пятница,16,Диагностика и ремонт оборудования,4,-3,True,дождь,5,"[1, 2, 3, 4, 5]",20,30
Четверг,5,Прикладное программирование,5,26,False,солнечно,3,"[2, 3, 5]",22,56
Среда,8,Математика,5,4,True,дождь,3,"[2, 4, 5]",20,41
Вторник,3,Информационная безопасность,5,9,False,солнечно,3,"[3, 4, 5]",20,44
Суббота,14,Обществознание,2,-4,True,град,3,"[1, 3, 5]",26,39
Суббота,13,Операционные системы,4,31,False,туман,2,"[1, 3]",20,30
Вторник,14,Безопасность операционных систем и сетей,5,20,True,дождь,5,"[1, 2, 3, 4, 5]",20,51
Вторник,10,Основы туризма и гостеприимства,3,26,False,ветер,2,"[1, 2]",67,81
Среда,16,Основы туризма и гостеприимства,3,11,False,ветер,3,"[1, 3, 5]",57,84
Пятница,12,Виртуализация и облачные технологии,4,0,False,солнечно,3,"[1, 3, 4]",34,68
Понедельник,10,Архитектура компьютеров,4,14,False,солнечно,2,"[2, 3]",39,65
Пятница,4,Системное администрирование,4,28,False,туман,5,"[1, 2, 3, 4, 5]",20,49
Вторник,6,Русский язык,3,22,False,туман,4,"[1, 3, 4, 5]",67,82
Среда,1,Диагностика и ремонт оборудования,4,-4,False,пасмурно,2,"[1, 4]",20,60
Суббота,10,Техническое обслуживание компьютерных систем,3,22,False,солнечно,3,"[1, 3, 4]",70,78
Среда,11,Информатика,5,1,False,ветер,4,"[2, 3, 4, 5]",28,58
Вторник,1,Основы информационных технологий,4,16,True,град,3,"[2, 3, 5]",20,38
Вторник,6,Основы сетевых технологий,4,2,False,туман,2,"[2, 3]",20,49
Четверг,13,Русский язык,3,18,True,снег,4,"[1, 2, 3, 4]",41,47
Суббота,7,Обществознание,2,16,False,туман,1,[3],65,82
Пятница,13,Проектно-исследовательская деятельность,4,35,False,солнечно,3,"[3, 4, 5]",20,33
Пятница,5,Виртуализация и облачные технологии,4,-1,True,дождь,3,"[2, 3, 5]",20,30
Понедельник,4,Системное администрирование,4,13,False,солнечно,5,"[1, 2, 3, 4, 5]",20,45
Четверг,15,Основы информационных технологий,4,28,False,ветер,2,"[1, 2]",30,61
Четверг,9,Математика,5,21,True,снег,3,"[3, 4, 5]",28,49
Вторник,1,Методы и средства защиты информации,5,31,False,пасмурно,2,"[1, 4]",25,45
Понедельник,16,Операционные системы,4,25,True,снег,5,"[1, 2, 3, 4, 5]",20,40
Понедельник,7,Безопасность операционных систем и сетей,5,29,True,град,3,"[1, 2, 5]",20,49
Пятница,15,Маркетинг и менеджмент в сфере услуг,3,12,False,туман,5,"[1, 2, 3, 4, 5]",42,71
Понедельник,8,Операционные системы,4,11,True,дождь,5,"[1, 2, 3, 4, 5]",20,45
Понедельник,1,Эксплуатация компьютерных сетей,4,-5,False,ветер,3,"[1, 2, 3]",36,74
Вторник,5,Литература,3,28,False,солнечно,3,"[3, 4, 5]",65,79
Понедельник,6,Криптография,5,17,True,снег,4,"[1, 2, 3, 4]",20,34
Суббота,15,Математика,5,22,True,град,3,"[3, 4, 5]",20,35
Среда,16,Диагностика и ремонт оборудования,4,25,False,туман,5,"[1, 2, 3, 4, 5]",32,68
Понедельник,3,Физика,4,24,False,туман,3,"[1, 4, 5]",25,63
Понедельник,5,Основы сетевых технологий,4,16,False,ветер,5,"[1, 2, 3, 4, 5]",21,44
Суббота,8,Организация обслуживания в гостиницах,3,21,False,солнечно,3,"[1, 4, 5]",68,81
Пятница,13,Русский язык,3,6,False,ветер,5,"[1, 2, 3, 4, 5]",43,73
Четверг,10,Информатика,5,0,False,ветер,2,"[3, 4]",20,46
Понедельник,7,Основы информационных технологий,4,-4,False,солнечно,2,"[1, 5]",25,49
Суббота,15,Системное администрирование,4,15,False,туман,1,[4],20,42
Понедельник,1,Литература,3,-3,False,туман,5,"[1, 2, 3, 4, 5]",57,85
Понедельник,12,Операционные системы,4,20,False,туман,5,"[1, 2, 3, 4, 5]",24,68
Суббота,1,Сетевые операционные системы,4,27,False,солнечно,2,"[2, 5]",37,66
Пятница,12,Основы программирования,5,33,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Понедельник,6,Криптография,5,-1,False,солнечно,2,"[3, 5]",29,69
Вторник,14,Организация обслуживания в гостиницах,3,-3,False,туман,3,"[1, 3, 5]",63,84
Суббота,14,Русский язык,3,24,True,дождь,3,"[1, 2, 3]",45,60
Четверг,2,Безопасность сетей,5,14,True,град,4,"[1, 2, 3, 5]",20,41
Среда,11,История,2,33,False,ветер,5,"[1, 2, 3, 4, 5]",66,75
Вторник,3,Прикладное программирование,5,-2,False,солнечно,4,"[1, 3, 4, 5]",22,48
Вторник,2,Маркетинг и менеджмент в сфере услуг,3,34,False,пасмурно,3,"[3, 4, 5]",40,60
Понедельник,8,Естествознание,3,20,True,град,2,"[1, 3]",55,64
Понедельник,4,Операционные системы,4,32,False,пасмурно,2,"[1, 5]",36,56
Суббота,9,Базы данных,4,-3,False,туман,2,"[2, 5]",26,57
Вторник,9,Математические основы информатики,4,31,False,туман,5,"[1, 2, 3, 4, 5]",20,52
Суббота,11,История,2,0,True,дождь,1,[4],47,63
Вторник,2,Информатика,5,15,False,пасмурно,5,"[1, 2, 3, 4, 5]",30,62
Вторник,7,Математика,5,2,False,туман,4,"[1, 2, 3, 4]",20,47
Среда,16,Диагностика и ремонт оборудования,4,29,True,дождь,3,"[1, 2, 4]",21,37
Пятница,5,Проектирование информационных систем,4,9,False,ветер,5,"[1, 2, 3, 4, 5]",24,51
Среда,3,Тестирование программных продуктов,4,26,False,пасмурно,3,"[1, 3, 4]",35,66
Вторник,12,Математические основы информатики,4,12,True,град,3,"[2, 3, 4]",20,39
Пятница,3,Виртуализация и облачные технологии,4,8,True,дождь,5,"[1, 2, 3, 4, 5]",20,41
Среда,6,Обществознание,2,-4,False,ветер,3,"[1, 3, 4]",65,73
Понедельник,3,Конфигурирование и администрирование сетей,5,21,True,снег,2,"[1, 3]",23,45
Суббота,3,Маркетинг и менеджмент в сфере услуг,3,-4,False,туман,1,[3],42,69
Понедельник,14,Обществознание,2,7,False,солнечно,4,"[1, 2, 4, 5]",55,77
Вторник,10,Администрирование систем защиты,5,16,False,ветер,3,"[1, 2, 3]",33,58
Пятница,3,Виртуализация и облачные технологии,4,20,False,ветер,2,"[2, 4]",34,55
Суббота,12,Сетевые операционные системы,4,7,False,ветер,1,[4],21,48
Понедельник,8,Операционные системы,4,22,False,туман,5,"[1, 2, 3, 4, 5]",27,51
Понедельник,16,Геометрия,4,31,False,пасмурно,3,"[1, 2, 5]",20,35
Пятница,16,Основы туризма и гостеприимства,3,34,True,снег,5,"[1, 2, 3, 4, 5]",30,43
Среда,15,Операционные системы,4,27,False,пасмурно,2,"[3, 5]",26,48
Среда,5,Литература,3,30,True,дождь,5,"[1, 2, 3, 4, 5]",32,52
Понедельник,15,Системное администрирование,4,28,False,туман,3,"[2, 3, 4]",20,45
Четверг,16,Прикладное программирование,5,19,True,дождь,3,"[2, 3, 4]",20,35
Среда,9,Разработка программного обеспечения,5,4,True,град,4,"[1, 2, 3, 5]",20,32
Понедельник,14,Русский язык,3,26,True,град,2,"[2, 3]",43,60
Вторник,4,Операционные системы,4,1,False,пасмурно,2,"[1, 3]",28,54
Среда,2,Системное администрирование,4,0,True,снег,2,"[2, 4]",21,48
Среда,8,Базы данных,4,10,False,солнечно,4,"[1, 3, 4, 5]",21,45
Пятница,12,Операционные системы,4,28,False,пасмурно,5,"[1, 2, 3, 4, 5]",35,69
Понедельник,3,Безопасность операционных систем и сетей,5,30,False,солнечно,5,"[1, 2, 3, 4, 5]",30,58
Четверг,14,Маркетинг и менеджмент в сфере услуг,3,30,False,пасмурно,2,"[3, 4]",47,75
Вторник,12,Техническое обслуживание компьютерных систем,3,9,False,пасмурно,4,"[1, 2, 3, 5]",60,73
Понедельник,16,Тестирование программных продуктов,4,18,False,ветер,5,"[1, 2, 3, 4, 5]",35,64
Вторник,11,Информационная безопасность,5,22,False,солнечно,2,"[2, 4]",20,53
Четверг,5,Архитектура компьютеров,4,23,True,снег,3,"[1, 2, 4]",20,30
Понедельник,16,Основы информационных технологий,4,34,False,ветер,5,"[1, 2, 3, 4, 5]",20,40
Пятница,6,Администрирование систем защиты,5,29,False,туман,3,"[1, 2, 5]",27,54
Суббота,2,Эксплуатация компьютерных сетей,4,27,True,снег,3,"[1, 4, 5]",22,39
Понедельник,6,Основы сетевых технологий,4,14,True,снег,5,"[1, 2, 3, 4, 5]",20,46
Вторник,13,Виртуализация и облачные технологии,4,0,True,град,4,"[1, 3, 4, 5]",20,45
Вторник,13,Естествознание,3,19,False,солнечно,2,"[2, 4]",47,71
Суббота,3,Тестирование программных продуктов,4,14,False,пасмурно,1,[5],20,39
Четверг,10,Информатика,5,2,False,ветер,2,"[2, 5]",26,56
Вторник,13,Системное администрирование,4,13,False,пасмурно,2,"[3, 5]",30,60
Понедельник,16,Техническое обслуживание компьютерных систем,3,11,False,солнечно,4,"[1, 2, 3, 5]",44,72
Четверг,9,Системное администрирование,4,24,False,солнечно,2,"[1, 4]",23,56
Суббота,10,Естествознание,3,-4,False,ветер,1,[3],52,71
Суббота,9,Маркетинг и менеджмент в сфере услуг,3,20,False,пасмурно,1,[1],69,83
Пятница,9,Криптография,5,-1,False,солнечно,5,"[1, 2, 3, 4, 5]",23,49
Четверг,13,Веб-технологии,4,6,False,солнечно,4,"[2, 3, 4, 5]",35,68
Четверг,5,Техническое обслуживание компьютерных систем,3,13,True,дождь,2,"[3, 5]",43,48
Вторник,6,Криптография,5,10,False,солнечно,3,"[3, 4, 5]",20,46
Вторник,6,Разработка программного обеспечения,5,16,False,пасмурно,3,"[2, 3, 4]",24,60
Пятница,8,Виртуализация и облачные технологии,4,24,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Пятница,8,Администрирование систем защиты,5,-2,False,туман,5,"[1, 2, 3, 4, 5]",34,71
Пятница,7,Проектирование информационных систем,4,30,False,пасмурно,2,"[1, 4]",20,54
Четверг,6,Эксплуатация компьютерных сетей,4,6,True,дождь,4,"[2, 3, 4, 5]",20,32
Вторник,13,Администрирование систем защиты,5,26,True,град,2,"[1, 3]",21,44
Четверг,10,Обществознание,2,18,True,снег,2,"[3, 4]",40,63
Понедельник,14,Методы и средства защиты информации,5,11,False,туман,4,"[1, 2, 3, 4]",20,46
Суббота,7,Математические основы информатики,4,1,True,дождь,1,[4],20,30
Вторник,15,Виртуализация и облачные технологии,4,6,False,солнечно,2,"[1, 2]",32,60
Понедельник,7,Основы сетевых технологий,4,1,False,туман,3,"[1, 3, 5]",20,44
Понедельник,4,Математика,5,6,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,48
Вторник,11,Конфигурирование и администрирование сетей,5,17,True,дождь,4,"[1, 2, 4, 5]",20,40
Пятница,11,Математика,5,25,True,дождь,4,"[1, 2, 3, 5]",20,35
Пятница,3,Архитектура компьютеров,4,5,False,ветер,3,"[1, 3, 5]",37,61
Понедельник,14,Проектно-исследовательская деятельность,4,26,False,ветер,3,"[2, 3, 4]",20,58
Среда,14,Информационная безопасность,5,35,True,град,4,"[1, 2, 3, 5]",20,30
Понедельник,1,Прикладное программирование,5,22,False,солнечно,2,"[4, 5]",37,68
Среда,10,Эксплуатация компьютерных сетей,4,30,False,солнечно,3,"[1, 4, 5]",20,45
Понедельник,16,Диагностика и ремонт оборудования,4,-4,False,туман,3,"[1, 2, 5]",20,56
Вторник,3,Основы туризма и гостеприимства,3,15,True,снег,2,"[4, 5]",40,58
Понедельник,9,Конфигурирование и администрирование сетей,5,-1,True,дождь,4,"[2, 3, 4, 5]",20,35
Суббота,6,Системное администрирование,4,2,False,туман,1,[1],25,49
Суббота,12,Основы сетевых технологий,4,35,False,пасмурно,2,"[3, 4]",20,45
Суббота,14,Основы сетевых технологий,4,29,True,дождь,1,[2],20,30
Пятница,12,Основы туризма и гостеприимства,3,24,False,ветер,2,"[4, 5]",74,89
Среда,11,Проектирование информационных систем,4,21,False,солнечно,2,"[2, 5]",29,62
Пятница,9,Эксплуатация компьютерных сетей,4,17,True,град,4,"[1, 2, 3, 5]",20,30
Четверг,10,Основы информационных технологий,4,-5,False,туман,2,"[2, 3]",31,65
Четверг,4,Базы данных,4,25,False,солнечно,3,"[1, 3, 5]",26,49
Четверг,10,Виртуализация и облачные технологии,4,33,True,снег,4,"[1, 2, 3, 5]",20,30
Четверг,12,Эксплуатация компьютерных сетей,4,14,False,пасмурно,3,"[2, 4, 5]",22,59
Понедельник,5,Виртуализация и облачные технологии,4,21,False,ветер,2,"[3, 5]",20,47
